Actual_CO_GT,RF_Predicted,SVR_Predicted,XGB_Predicted,GB_Predicted,RF_Error,XGB_Error
1.0,1.179,0.982,1.075,1.31,-0.179,-0.075
2.3,2.563,2.631,2.789,2.755,-0.263,-0.489
2.4,1.845,1.98,1.881,1.85,0.555,0.519
0.7,0.574,0.65,0.584,0.54,0.126,0.116
1.3,1.376,1.053,1.19,1.258,-0.076,0.11
2.1,2.105,2.033,1.958,2.1,-0.005,0.142
1.3,1.221,1.195,1.209,1.233,0.079,0.091
2.0,2.072,2.016,2.004,2.017,-0.072,-0.004
1.5,1.457,1.671,1.621,1.601,0.043,-0.121
1.2,0.891,1.158,1.003,0.883,0.309,0.197
1.0,0.791,0.754,0.778,0.737,0.209,0.222
4.2,4.235,4.397,4.248,4.212,-0.035,-0.048
4.9,4.827,4.774,4.72,4.799,0.073,0.18
1.5,1.459,1.418,1.424,1.383,0.041,0.076
2.2,1.884,1.856,1.797,1.812,0.316,0.403
2.4,2.176,2.487,2.165,2.231,0.224,0.235
0.6,0.494,0.497,0.437,0.449,0.106,0.163
2.6,2.327,2.303,2.504,2.432,0.273,0.096
2.1,1.989,1.799,1.954,1.902,0.111,0.146
2.8,2.654,2.865,2.695,2.531,0.146,0.105
0.9,1.886,1.638,1.587,1.887,-0.986,-0.687
4.0,4.151,4.3,4.157,4.286,-0.151,-0.157
0.4,0.634,0.648,0.589,0.6,-0.234,-0.189
2.0,1.907,1.941,1.922,1.979,0.093,0.078
0.5,0.526,0.469,0.528,0.521,-0.026,-0.028
1.0,0.82,0.947,0.763,0.769,0.18,0.237
1.2,1.202,1.101,1.073,1.051,-0.002,0.127
2.3,2.689,2.266,2.775,2.548,-0.389,-0.475
1.5,1.692,1.587,1.633,1.558,-0.192,-0.133
1.5,1.66,1.337,1.509,1.379,-0.16,-0.009
5.8,5.071,5.843,5.301,5.033,0.729,0.499
3.8,4.157,3.917,3.975,4.054,-0.357,-0.175
0.5,0.537,0.508,0.525,0.528,-0.037,-0.025
2.9,3.791,2.965,3.464,3.598,-0.891,-0.564
0.9,1.136,1.384,0.952,1.084,-0.236,-0.052
1.0,0.835,0.723,0.943,0.898,0.165,0.057
1.1,1.31,1.297,1.253,1.211,-0.21,-0.153
0.9,0.837,0.898,0.891,0.86,0.063,0.009
1.4,1.497,1.362,1.458,1.589,-0.097,-0.058
2.9,2.634,2.821,2.839,2.807,0.266,0.061
2.1,2.368,2.114,2.469,2.37,-0.268,-0.369
3.4,3.614,3.416,3.59,3.798,-0.214,-0.19
2.7,2.835,3.002,3.08,2.982,-0.135,-0.38
2.7,2.618,2.559,2.583,2.692,0.082,0.117
1.5,1.554,1.614,1.591,1.556,-0.054,-0.091
1.5,1.063,1.203,1.166,1.05,0.437,0.334
1.0,0.967,0.877,0.942,0.92,0.033,0.058
0.6,0.992,0.742,0.8,0.838,-0.392,-0.2
1.3,1.363,1.25,1.321,1.301,-0.063,-0.021
2.6,3.042,2.71,3.136,3.205,-0.442,-0.536
1.3,1.109,1.114,1.117,1.089,0.191,0.183
0.5,0.465,0.475,0.53,0.548,0.035,-0.03
0.6,0.581,0.517,0.509,0.544,0.019,0.091
1.8,1.752,1.641,1.821,1.829,0.048,-0.021
0.7,0.922,0.749,0.811,0.82,-0.222,-0.111
0.5,0.614,0.536,0.573,0.599,-0.114,-0.073
1.2,1.292,1.116,1.254,1.282,-0.092,-0.054
2.9,3.402,3.314,3.013,3.322,-0.502,-0.113
5.7,5.687,5.595,5.946,5.87,0.013,-0.246
3.1,2.824,2.889,2.951,2.814,0.276,0.149
3.4,3.541,3.474,3.488,3.414,-0.141,-0.088
2.4,3.318,2.583,2.633,3.329,-0.918,-0.233
0.3,0.614,0.429,0.363,0.504,-0.314,-0.063
5.2,4.437,4.61,4.729,4.587,0.763,0.471
0.8,0.701,0.904,0.643,0.717,0.099,0.157
1.0,1.017,0.978,0.992,1.036,-0.017,0.008
0.8,0.992,0.681,0.798,0.846,-0.192,0.002
4.9,4.874,4.854,4.921,4.861,0.026,-0.021
1.3,1.224,1.187,1.229,1.244,0.076,0.071
4.0,4.495,4.309,4.55,4.461,-0.495,-0.55
4.7,4.265,4.316,4.386,4.324,0.435,0.314
4.8,2.95,3.015,3.721,3.591,1.85,1.079
4.6,4.478,4.308,4.399,4.542,0.122,0.201
1.3,1.131,1.154,1.2,1.182,0.169,0.1
0.6,1.117,1.0,0.987,1.042,-0.517,-0.387
2.5,2.281,2.422,2.295,2.266,0.219,0.205
1.5,1.488,1.553,1.579,1.51,0.012,-0.079
4.7,3.91,4.539,3.937,4.131,0.79,0.763
3.4,3.602,3.793,3.513,3.563,-0.202,-0.113
0.9,0.899,0.906,0.871,0.848,0.001,0.029
0.9,0.731,0.93,0.981,1.014,0.169,-0.081
6.0,4.5,5.422,4.928,4.755,1.5,1.072
2.1,1.606,1.205,1.564,1.613,0.494,0.536
2.6,2.014,1.919,2.092,2.073,0.586,0.508
2.1,2.369,2.206,2.266,2.225,-0.269,-0.166
1.4,1.389,1.491,1.664,1.555,0.011,-0.264
1.0,1.192,1.196,1.055,1.035,-0.192,-0.055
2.0,1.919,1.66,1.869,2.015,0.081,0.131
0.3,1.513,1.474,1.506,1.357,-1.213,-1.206
8.1,8.58,8.478,8.436,8.459,-0.48,-0.336
1.2,1.214,1.161,1.26,1.215,-0.014,-0.06
1.8,1.991,1.96,2.042,2.008,-0.191,-0.242
4.2,4.804,4.59,4.739,4.694,-0.604,-0.539
2.1,1.95,2.049,2.052,2.067,0.15,0.048
1.9,2.041,2.056,2.022,1.94,-0.141,-0.122
2.7,2.991,2.82,2.775,2.768,-0.291,-0.075
4.2,4.025,3.438,4.072,4.233,0.175,0.128
0.2,0.516,0.33,0.386,0.442,-0.316,-0.186
2.5,2.377,1.867,2.364,2.355,0.123,0.136
2.1,1.955,2.094,1.965,1.982,0.145,0.135
1.7,1.522,1.499,1.586,1.648,0.178,0.114
0.7,0.867,0.765,0.759,0.759,-0.167,-0.059
3.7,3.779,3.814,3.747,3.702,-0.079,-0.047
1.6,1.763,1.703,1.868,1.824,-0.163,-0.268
3.5,3.642,3.327,3.588,3.628,-0.142,-0.088
1.2,1.134,1.157,1.211,1.173,0.066,-0.011
0.1,0.517,0.109,0.46,0.452,-0.417,-0.36
1.4,1.561,1.567,1.429,1.565,-0.161,-0.029
0.6,0.52,0.572,0.554,0.584,0.08,0.046
1.4,1.115,1.341,1.251,1.253,0.285,0.149
5.4,4.491,5.37,4.673,4.581,0.909,0.727
2.3,2.455,2.346,2.385,2.369,-0.155,-0.085
1.8,1.751,1.62,1.729,1.694,0.049,0.071
2.1,2.17,1.923,2.129,2.143,-0.07,-0.029
2.3,2.121,2.185,2.119,2.126,0.179,0.181
0.7,0.666,0.602,0.645,0.623,0.034,0.055
0.5,0.562,0.409,0.494,0.498,-0.062,0.006
0.9,0.669,0.734,0.587,0.56,0.231,0.313
2.0,1.946,2.11,2.108,2.12,0.054,-0.108
2.2,2.048,2.177,2.0,1.963,0.152,0.2
4.3,3.455,4.189,3.679,3.459,0.845,0.621
2.7,1.571,1.581,2.001,1.69,1.129,0.699
3.8,3.527,3.498,3.574,3.605,0.273,0.226
4.4,3.981,4.163,3.874,4.039,0.419,0.526
3.0,3.466,3.227,3.479,3.516,-0.466,-0.479
3.5,3.814,3.676,3.947,3.892,-0.314,-0.447
4.1,4.031,4.118,4.148,4.197,0.069,-0.048
4.5,4.235,4.543,4.402,4.621,0.265,0.098
2.1,2.342,2.26,2.397,2.4,-0.242,-0.297
1.3,1.286,1.337,1.272,1.277,0.014,0.028
2.0,1.589,1.539,1.623,1.653,0.411,0.377
1.3,1.107,1.221,1.241,1.268,0.193,0.059
5.5,5.543,5.393,5.279,5.304,-0.043,0.221
2.0,1.968,2.064,2.095,2.007,0.032,-0.095
1.8,1.852,1.738,1.799,1.821,-0.052,0.001
0.9,1.497,1.331,1.442,1.491,-0.597,-0.542
0.7,1.042,0.801,0.865,0.83,-0.342,-0.165
1.4,1.197,1.058,1.208,1.243,0.203,0.192
0.7,0.679,0.55,0.731,0.744,0.021,-0.031
2.7,2.403,2.47,2.428,2.456,0.297,0.272
1.5,1.476,1.539,1.675,1.542,0.024,-0.175
3.2,3.561,3.0,3.502,3.502,-0.361,-0.302
3.6,3.367,3.911,3.444,3.38,0.233,0.156
1.9,1.401,1.576,1.674,1.653,0.499,0.226
2.3,1.384,1.662,1.907,1.727,0.916,0.393
3.0,2.826,3.211,3.004,3.134,0.174,-0.004
4.4,4.64,4.217,4.389,4.383,-0.24,0.011
2.0,1.593,1.975,1.829,1.771,0.407,0.171
0.7,0.908,0.862,0.862,0.855,-0.208,-0.162
2.3,2.199,2.375,2.21,2.235,0.101,0.09
5.8,5.752,5.264,6.01,5.656,0.048,-0.21
3.7,2.944,3.321,3.071,2.952,0.756,0.629
1.0,0.849,0.917,0.891,0.926,0.151,0.109
4.8,4.605,4.754,4.517,4.707,0.195,0.283
2.5,2.406,2.556,2.377,2.324,0.094,0.123
1.5,1.36,1.36,1.413,1.393,0.14,0.087
0.6,0.665,0.684,0.606,0.572,-0.065,-0.006
1.5,1.303,1.528,1.324,1.257,0.197,0.176
2.4,2.171,2.154,2.168,2.069,0.229,0.232
2.7,2.947,2.865,2.999,3.002,-0.247,-0.299
1.9,1.842,1.799,1.774,1.706,0.058,0.126
2.0,2.124,2.098,2.121,2.058,-0.124,-0.121
2.9,3.345,3.294,3.337,3.363,-0.445,-0.437
1.9,1.726,1.507,1.629,1.679,0.174,0.271
0.8,0.725,0.944,0.794,0.797,0.075,0.006
0.8,0.671,0.664,0.737,0.647,0.129,0.063
0.2,0.241,0.297,0.254,0.297,-0.041,-0.054
0.8,1.447,1.466,1.525,1.466,-0.647,-0.725
1.8,1.659,1.606,1.71,1.725,0.141,0.09
0.4,0.427,0.404,0.381,0.415,-0.027,0.019
2.8,2.569,2.522,2.669,2.583,0.231,0.131
3.5,3.489,3.504,3.411,3.586,0.011,0.089
3.3,3.337,3.382,3.287,3.393,-0.037,0.013
3.1,3.006,2.842,2.931,2.941,0.094,0.169
2.0,1.889,2.116,1.984,1.939,0.111,0.016
1.2,1.126,1.191,1.178,1.263,0.074,0.022
0.6,0.55,0.577,0.592,0.591,0.05,0.008
1.0,0.833,1.002,0.905,0.83,0.167,0.095
1.0,0.924,1.037,0.97,0.906,0.076,0.03
1.7,1.605,1.59,1.651,1.596,0.095,0.049
2.7,2.753,2.816,2.804,2.853,-0.053,-0.104
0.9,0.963,0.853,0.924,0.926,-0.063,-0.024
0.9,1.052,0.973,1.016,1.066,-0.152,-0.116
1.2,1.138,1.077,1.201,1.119,0.062,-0.001
1.1,1.069,1.013,1.019,1.042,0.031,0.081
2.4,2.542,2.388,2.539,2.392,-0.142,-0.139
0.9,0.804,0.859,0.766,0.756,0.096,0.134
0.7,0.775,0.835,0.717,0.74,-0.075,-0.017
5.9,5.552,5.672,5.457,5.521,0.348,0.443
1.8,1.959,1.964,1.965,2.006,-0.159,-0.165
4.4,4.36,4.608,4.387,4.454,0.04,0.013
2.9,2.634,2.804,2.558,2.336,0.266,0.342
2.8,2.871,2.935,2.906,2.852,-0.071,-0.106
0.9,0.702,0.811,0.732,0.706,0.198,0.168
2.1,2.039,1.91,2.083,2.097,0.061,0.017
0.6,0.809,0.708,0.802,0.73,-0.209,-0.202
1.7,1.709,1.526,1.623,1.663,-0.009,0.077
1.0,0.934,1.034,0.952,0.936,0.066,0.048
0.7,0.545,0.643,0.625,0.576,0.155,0.075
3.8,3.555,3.784,3.694,3.566,0.245,0.106
2.5,2.81,2.949,2.945,2.793,-0.31,-0.445
2.3,2.393,2.648,2.569,2.478,-0.093,-0.269
0.8,0.768,0.864,0.945,0.866,0.032,-0.145
0.6,0.552,0.518,0.584,0.604,0.048,0.016
3.5,3.327,3.457,3.303,3.326,0.173,0.197
2.1,2.324,2.183,2.236,2.173,-0.224,-0.136
2.1,2.183,2.199,2.038,2.063,-0.083,0.062
0.5,0.55,0.555,0.493,0.579,-0.05,0.007
1.7,1.699,1.69,1.649,1.596,0.001,0.051
1.1,1.175,1.194,1.08,1.117,-0.075,0.02
1.8,1.79,1.953,1.753,1.645,0.01,0.047
5.8,5.552,5.569,5.542,5.543,0.248,0.258
3.2,3.258,3.193,3.04,3.101,-0.058,0.16
1.0,2.059,1.883,1.813,2.036,-1.059,-0.813
0.5,0.652,0.692,0.65,0.693,-0.152,-0.15
1.6,1.45,1.426,1.499,1.478,0.15,0.101
4.0,3.16,3.384,3.338,3.112,0.84,0.662
1.2,0.994,1.165,1.148,1.129,0.206,0.052
1.1,1.096,0.989,1.057,0.968,0.004,0.043
1.8,1.854,1.874,1.883,1.892,-0.054,-0.083
4.5,4.127,4.205,4.188,3.989,0.373,0.312
0.6,0.545,0.503,0.504,0.565,0.055,0.096
2.0,1.67,1.728,1.669,1.585,0.33,0.331
0.9,1.016,0.811,0.875,1.003,-0.116,0.025
0.8,0.905,0.802,0.77,0.828,-0.105,0.03
3.7,3.667,3.609,3.776,3.771,0.033,-0.076
3.1,3.678,3.318,3.565,3.684,-0.578,-0.465
0.6,0.52,0.544,0.545,0.513,0.08,0.055
1.4,1.53,1.421,1.638,1.7,-0.13,-0.238
2.8,2.637,2.946,2.75,2.789,0.163,0.05
1.1,1.025,1.17,1.069,0.982,0.075,0.031
2.2,2.099,2.185,2.037,2.034,0.101,0.163
0.4,0.6,0.491,0.427,0.632,-0.2,-0.027
1.4,1.777,1.52,1.731,1.796,-0.377,-0.331
5.9,4.935,5.006,5.369,5.172,0.965,0.531
2.3,2.442,2.419,2.56,2.517,-0.142,-0.26
1.1,0.981,1.148,0.897,1.13,0.119,0.203
1.0,0.799,0.894,0.884,0.918,0.201,0.116
3.9,3.627,3.898,3.679,3.628,0.273,0.221
2.5,2.321,2.211,2.309,2.246,0.179,0.191
0.6,0.698,0.781,0.673,0.647,-0.098,-0.073
1.8,2.063,1.783,2.008,2.102,-0.263,-0.208
3.7,3.862,3.913,4.001,3.964,-0.162,-0.301
0.7,1.307,1.452,1.102,1.152,-0.607,-0.402
2.3,2.182,2.056,2.109,2.106,0.118,0.191
4.5,4.221,4.426,4.183,4.248,0.279,0.317
1.5,2.894,2.746,2.746,2.915,-1.394,-1.246
4.7,5.076,5.107,5.309,5.071,-0.376,-0.609
0.9,0.894,0.938,0.921,0.823,0.006,-0.021
1.5,1.439,1.368,1.53,1.545,0.061,-0.03
1.1,0.926,1.02,0.95,0.895,0.174,0.15
4.0,3.585,3.739,3.857,3.877,0.415,0.143
2.6,2.548,2.795,2.721,2.763,0.052,-0.121
2.6,2.713,2.687,2.707,2.646,-0.113,-0.107
2.7,2.479,2.547,2.361,2.476,0.221,0.339
1.6,1.517,1.601,1.518,1.448,0.083,0.082
0.6,0.698,0.714,0.591,0.666,-0.098,0.009
2.5,2.375,2.366,2.401,2.411,0.125,0.099
1.4,1.667,1.468,1.62,1.634,-0.267,-0.22
3.4,3.35,3.503,3.377,3.272,0.05,0.023
2.0,2.037,2.335,2.146,2.089,-0.037,-0.146
5.5,5.027,5.333,5.184,5.141,0.473,0.316
6.6,8.075,7.747,7.002,7.776,-1.475,-0.402
1.7,1.449,1.649,1.387,1.382,0.251,0.313
1.2,0.94,1.037,0.969,0.89,0.26,0.231
2.5,1.962,2.14,2.045,2.011,0.538,0.455
0.8,0.734,0.75,0.868,0.938,0.066,-0.068
5.5,5.356,5.474,5.306,5.206,0.144,0.194
1.0,1.114,1.07,1.065,1.112,-0.114,-0.065
1.0,1.085,1.313,1.078,0.956,-0.085,-0.078
1.3,1.569,1.386,1.016,1.185,-0.269,0.284
1.5,1.277,1.206,1.403,1.368,0.223,0.097
3.7,3.099,2.792,3.088,2.975,0.601,0.612
2.8,3.167,3.079,3.162,3.121,-0.367,-0.362
0.7,0.618,0.616,0.625,0.589,0.082,0.075
0.6,0.66,0.601,0.592,0.651,-0.06,0.008
2.4,2.568,2.332,2.382,2.331,-0.168,0.018
2.1,1.855,1.774,1.856,1.768,0.245,0.244
2.6,3.297,3.198,3.19,3.245,-0.697,-0.59
0.6,0.688,0.668,0.715,0.65,-0.088,-0.115
3.8,3.695,3.77,3.757,3.734,0.105,0.043
0.7,0.719,0.67,0.696,0.7,-0.019,0.004
3.2,3.697,3.4,3.631,3.527,-0.497,-0.431
0.9,0.763,0.891,0.867,0.831,0.137,0.033
5.7,5.345,5.451,5.462,5.5,0.355,0.238
2.9,3.37,3.231,3.277,3.242,-0.47,-0.377
0.7,0.701,0.631,0.852,0.89,-0.001,-0.152
3.8,3.884,4.089,4.045,4.033,-0.084,-0.245
3.8,3.928,3.639,3.876,3.745,-0.128,-0.076
2.6,2.593,2.579,2.505,2.344,0.007,0.095
3.8,3.934,3.677,3.943,3.881,-0.134,-0.143
1.7,1.814,1.898,1.925,1.95,-0.114,-0.225
2.0,2.041,1.941,2.032,2.151,-0.041,-0.032
3.3,3.397,3.258,3.16,3.323,-0.097,0.14
0.9,0.871,0.744,0.909,0.934,0.029,-0.009
2.1,2.478,2.203,2.396,2.291,-0.378,-0.296
1.4,1.117,1.364,1.238,1.259,0.283,0.162
2.6,2.133,2.318,2.322,2.257,0.467,0.278
1.9,1.87,1.749,1.873,1.846,0.03,0.027
1.2,0.944,0.831,1.019,1.002,0.256,0.181
2.9,2.667,2.845,2.64,2.694,0.233,0.26
4.4,4.329,3.904,4.161,4.275,0.071,0.239
2.3,2.331,2.289,2.331,2.392,-0.031,-0.031
3.7,3.932,3.678,3.785,3.863,-0.232,-0.085
3.2,3.16,3.253,3.216,3.211,0.04,-0.016
0.7,0.779,0.752,0.657,0.711,-0.079,0.043
1.7,1.705,1.615,1.714,1.774,-0.005,-0.014
2.4,2.38,2.327,2.24,2.264,0.02,0.16
3.1,2.252,2.748,2.957,2.704,0.848,0.143
1.0,0.934,0.952,0.969,0.916,0.066,0.031
1.4,1.257,1.314,1.328,1.272,0.143,0.072
1.7,1.848,1.674,1.921,1.857,-0.148,-0.221
3.5,3.929,3.747,3.966,3.835,-0.429,-0.466
1.0,1.127,0.986,1.192,1.27,-0.127,-0.192
5.4,4.323,4.853,4.705,4.515,1.077,0.695
1.3,1.601,1.372,1.308,1.476,-0.301,-0.008
1.0,1.361,1.045,1.201,1.302,-0.361,-0.201
5.3,5.756,5.578,5.904,5.759,-0.456,-0.604
4.3,4.116,4.13,4.071,4.079,0.184,0.229
1.6,1.856,1.714,1.806,1.796,-0.256,-0.206
2.6,2.668,2.8,2.877,2.721,-0.068,-0.277
1.8,1.64,1.679,1.743,1.623,0.16,0.057
2.5,2.355,2.507,2.38,2.439,0.145,0.12
1.8,1.873,2.012,2.138,2.04,-0.073,-0.338
1.3,1.324,1.124,1.25,1.277,-0.024,0.05
0.6,1.157,0.649,0.917,1.129,-0.557,-0.317
0.9,0.79,0.857,0.856,0.884,0.11,0.044
1.3,1.306,1.422,1.356,1.306,-0.006,-0.056
0.8,0.866,0.897,0.837,0.902,-0.066,-0.037
1.8,1.895,1.86,1.852,1.813,-0.095,-0.052
1.0,0.932,0.945,0.897,0.857,0.068,0.103
0.8,0.612,0.669,0.705,0.709,0.188,0.095
0.4,0.391,0.392,0.4,0.397,0.009,0.0
1.1,1.13,1.078,1.157,1.052,-0.03,-0.057
1.4,1.426,1.604,1.443,1.469,-0.026,-0.043
2.1,1.964,2.007,1.903,1.938,0.136,0.197
6.0,5.86,5.739,5.703,5.795,0.14,0.297
1.9,2.153,2.456,2.501,2.403,-0.253,-0.601
2.3,2.39,2.508,2.315,2.347,-0.09,-0.015
1.6,1.599,1.938,1.869,1.797,0.001,-0.269
1.0,1.034,0.93,0.972,0.957,-0.034,0.028
2.1,1.61,2.0,1.822,1.832,0.49,0.278
2.1,1.796,1.974,1.965,1.885,0.304,0.135
1.3,1.193,1.352,1.271,1.249,0.107,0.029
2.9,2.914,3.051,2.987,3.05,-0.014,-0.087
1.4,1.667,1.861,1.734,1.659,-0.267,-0.334
1.1,1.298,1.207,1.397,1.37,-0.198,-0.297
2.0,1.783,1.902,1.921,1.912,0.217,0.079
1.1,1.486,1.217,1.316,1.474,-0.386,-0.216
0.5,0.536,0.372,0.565,0.572,-0.036,-0.065
4.5,4.012,4.457,4.455,4.178,0.488,0.045
2.6,2.55,2.734,2.515,2.405,0.05,0.085
2.7,2.408,2.316,2.565,2.532,0.292,0.135
6.2,6.074,6.025,6.008,6.251,0.126,0.192
1.1,1.546,1.343,1.173,1.301,-0.446,-0.073
1.5,1.397,1.491,1.451,1.382,0.103,0.049
3.1,2.872,3.002,2.793,2.903,0.228,0.307
0.5,0.526,0.422,0.506,0.549,-0.026,-0.006
0.6,0.895,0.968,1.087,0.921,-0.295,-0.487
1.6,1.798,1.634,1.634,1.632,-0.198,-0.034
1.9,1.673,1.754,1.669,1.614,0.227,0.231
3.9,4.364,3.993,4.28,4.264,-0.464,-0.38
2.5,2.517,2.405,2.504,2.57,-0.017,-0.004
0.9,0.845,1.06,0.892,0.831,0.055,0.008
2.1,2.039,2.131,2.077,2.098,0.061,0.023
0.7,1.267,1.121,1.329,1.486,-0.567,-0.629
1.4,1.601,1.414,1.652,1.698,-0.201,-0.252
4.8,4.727,5.053,5.108,5.211,0.073,-0.308
5.7,4.748,5.351,4.986,4.829,0.952,0.714
1.7,1.909,1.883,1.918,1.872,-0.209,-0.218
2.6,2.626,2.507,2.33,2.476,-0.026,0.27
1.2,1.173,1.198,1.222,1.199,0.027,-0.022
1.4,1.868,1.576,1.701,1.794,-0.468,-0.301
2.5,2.425,2.453,2.397,2.425,0.075,0.103
0.4,0.38,0.301,0.372,0.401,0.02,0.028
4.1,3.954,4.069,3.895,3.92,0.146,0.205
1.5,1.322,1.494,1.423,1.418,0.178,0.077
2.3,2.364,2.179,2.266,2.251,-0.064,0.034
2.5,2.571,2.602,2.437,2.457,-0.071,0.063
1.5,1.146,1.313,1.25,1.295,0.354,0.25
0.9,0.957,0.714,0.98,0.81,-0.057,-0.08
0.7,1.064,1.124,1.14,1.269,-0.364,-0.44
4.7,5.016,4.848,5.075,5.121,-0.316,-0.375
3.4,3.415,3.401,3.537,3.499,-0.015,-0.137
0.7,0.553,0.593,0.682,0.66,0.147,0.018
1.4,1.452,1.472,1.395,1.406,-0.052,0.005
3.5,3.727,4.048,3.86,3.848,-0.227,-0.36
1.3,1.424,1.252,1.335,1.367,-0.124,-0.035
1.1,1.145,0.937,0.864,0.969,-0.045,0.236
1.6,1.564,1.512,1.513,1.584,0.036,0.087
1.9,2.038,2.029,2.1,2.084,-0.138,-0.2
5.0,5.002,4.782,4.97,5.06,-0.002,0.03
1.6,1.877,1.799,1.872,1.822,-0.277,-0.272
1.9,1.909,1.783,1.915,1.993,-0.009,-0.015
1.4,1.429,1.47,1.464,1.416,-0.029,-0.064
1.2,1.265,1.252,1.243,1.226,-0.065,-0.043
1.5,1.312,1.181,1.362,1.282,0.188,0.138
2.4,2.295,2.753,2.816,2.74,0.105,-0.416
0.6,0.652,0.738,0.603,0.612,-0.052,-0.003
5.3,5.399,5.43,5.338,5.535,-0.099,-0.038
2.6,2.4,2.416,2.334,2.636,0.2,0.266
1.6,1.502,1.585,1.572,1.517,0.098,0.028
4.1,4.176,3.836,4.077,4.026,-0.076,0.023
1.3,1.257,1.202,1.152,1.111,0.043,0.148
0.3,0.468,0.276,0.473,0.553,-0.168,-0.173
4.3,4.014,4.343,4.19,4.014,0.286,0.11
0.7,0.591,0.602,0.612,0.59,0.109,0.088
0.6,1.355,0.794,0.994,1.005,-0.755,-0.394
1.7,1.827,1.504,1.657,1.639,-0.127,0.043
0.3,0.371,0.401,0.363,0.346,-0.071,-0.063
1.0,0.911,0.825,0.833,0.806,0.089,0.167
1.6,1.444,1.467,1.521,1.54,0.156,0.079
0.8,0.764,0.84,0.826,0.846,0.036,-0.026
2.6,2.602,2.709,2.575,2.521,-0.002,0.025
0.1,0.46,0.407,0.485,0.54,-0.36,-0.385
2.5,2.3,2.449,2.365,2.338,0.2,0.135
1.4,1.43,1.325,1.375,1.403,-0.03,0.025
3.5,3.754,4.078,3.62,3.639,-0.254,-0.12
1.7,1.889,1.645,1.828,1.831,-0.189,-0.128
2.2,2.406,2.172,2.345,2.265,-0.206,-0.145
1.7,1.699,1.666,1.815,1.781,0.001,-0.115
1.3,1.199,1.246,1.328,1.264,0.101,-0.028
2.6,2.623,2.625,2.506,2.472,-0.023,0.094
2.0,1.983,2.049,2.073,2.043,0.017,-0.073
1.8,1.857,1.796,1.855,1.782,-0.057,-0.055
2.6,2.702,2.706,2.785,2.716,-0.102,-0.185
0.7,0.829,0.744,0.793,0.864,-0.129,-0.093
3.0,3.278,2.853,3.004,3.086,-0.278,-0.004
1.7,1.575,1.671,1.636,1.577,0.125,0.064
1.3,1.178,1.28,1.335,1.391,0.122,-0.035
2.4,2.38,2.406,2.428,2.43,0.02,-0.028
2.2,2.336,2.335,2.398,2.27,-0.136,-0.198
1.6,1.614,1.445,1.677,1.589,-0.014,-0.077
0.6,0.423,0.522,0.732,0.771,0.177,-0.132
0.5,0.692,0.583,0.73,0.688,-0.192,-0.23
2.9,2.814,2.898,2.925,2.86,0.086,-0.025
0.2,0.404,0.256,0.429,0.441,-0.204,-0.229
1.4,1.41,1.472,1.453,1.382,-0.01,-0.053
0.9,0.669,0.952,0.676,0.624,0.231,0.224
1.5,1.325,1.239,1.26,1.188,0.175,0.24
0.6,0.642,0.649,0.657,0.685,-0.042,-0.057
1.0,0.846,0.87,0.864,0.785,0.154,0.136
3.1,3.607,3.749,3.664,3.87,-0.507,-0.564
5.5,5.43,5.556,5.369,5.483,0.07,0.131
1.6,1.504,1.613,1.605,1.651,0.096,-0.005
2.4,2.431,2.208,2.374,2.487,-0.031,0.026
4.1,3.769,3.704,3.556,3.577,0.331,0.544
0.3,0.425,0.372,0.317,0.396,-0.125,-0.017
0.5,0.614,0.533,0.642,0.666,-0.114,-0.142
2.1,2.138,2.299,2.228,2.059,-0.038,-0.128
1.6,2.128,2.027,2.109,2.127,-0.528,-0.509
2.2,2.02,2.242,2.249,2.249,0.18,-0.049
0.8,0.758,0.633,0.755,0.773,0.042,0.045
0.9,0.8,0.83,0.878,0.878,0.1,0.022
0.6,0.542,0.397,0.554,0.582,0.058,0.046
0.8,0.797,0.878,0.839,0.772,0.003,-0.039
2.6,2.011,1.924,2.015,1.999,0.589,0.585
2.3,2.449,2.337,2.342,2.404,-0.149,-0.042
1.0,0.734,0.978,0.855,0.803,0.266,0.145
2.2,2.145,2.111,2.118,2.168,0.055,0.082
1.9,1.805,1.91,1.957,1.96,0.095,-0.057
1.0,0.99,1.053,1.12,1.042,0.01,-0.12
0.6,0.703,0.624,0.607,0.603,-0.103,-0.007
2.6,2.587,2.402,2.479,2.383,0.013,0.121
2.1,2.193,2.289,2.143,2.191,-0.093,-0.043
2.9,3.549,2.802,3.592,3.629,-0.649,-0.692
1.4,1.544,1.51,1.547,1.58,-0.144,-0.147
2.9,2.881,2.687,3.074,3.142,0.019,-0.174
1.3,1.253,1.324,1.245,1.214,0.047,0.055
4.2,4.109,4.11,4.068,3.99,0.091,0.132
3.9,4.009,4.002,4.194,4.204,-0.109,-0.294
0.9,1.139,0.95,1.032,1.063,-0.239,-0.132
1.6,2.499,2.122,2.07,2.343,-0.899,-0.47
1.0,0.848,0.9,0.888,0.825,0.152,0.112
0.7,0.648,0.472,0.58,0.569,0.052,0.12
2.1,2.065,2.039,2.184,2.097,0.035,-0.084
0.4,0.504,0.459,0.446,0.462,-0.104,-0.046
2.8,2.49,2.607,2.558,2.541,0.31,0.242
0.9,0.821,0.855,0.678,0.546,0.079,0.222
1.9,1.648,1.652,1.58,1.603,0.252,0.32
2.8,2.949,2.799,2.819,2.953,-0.149,-0.019
